id,tone,shoe_type,text,tags
tutin_001,Tự tin,sneaker,Tôi không đợi cơ hội mà tự tạo ra nhịp đi của riêng mình.,street,energy,motion
tutin_002,Tự tin,sneaker,Mỗi bước chân là một lựa chọn rõ ràng của bản thân.,street,confidence,urban
tutin_003,Tự tin,sneaker,Tôi bước đều vì tôi tin vào hướng mình chọn.,urban,steady,confidence
tutin_004,Tự tin,sneaker,Phong thái tự tin đến từ sự thoải mái.,street,relaxed,style
tutin_005,Tự tin,sneaker,Tôi đi theo nhịp riêng không cần vội.,energy,flow,street
tutin_006,Tự tin,runner,Tôi giữ tốc độ ổn định cho đường dài.,sport,focus,endurance
tutin_007,Tự tin,runner,Mỗi bước là một lần làm chủ bản thân.,running,control,confidence
tutin_008,Tự tin,runner,Tôi bước nhanh nhưng không hấp tấp.,sport,balance,drive
tutin_009,Tự tin,runner,Tôi tin vào sự bền bỉ của mình.,endurance,focus,steady
tutin_010,Tự tin,runner,Nhịp chạy phản ánh tinh thần.,sport,energy,confidence
tutin_011,Tự tin,leather,Phong cách đến từ sự chủ động.,luxury,confidence,calm
tutin_012,Tự tin,leather,Tôi chọn sự gọn gàng và chắc chắn.,elegant,control,style
tutin_013,Tự tin,leather,Tôi bước chậm nhưng dứt khoát.,luxury,steady,confidence
tutin_014,Tự tin,leather,Sự tự tin thể hiện qua từng chuyển động.,class,calm,style
tutin_015,Tự tin,leather,Tôi giữ phong thái ổn định cả ngày.,premium,balance,calm
tutin_016,Tự tin,boot,Tôi bước chắc để giữ thế chủ động.,street,strong,masculine
tutin_017,Tự tin,boot,Tôi thích cảm giác vững vàng.,power,control,street
tutin_018,Tự tin,boot,Mỗi bước mang lại sự an tâm.,strong,steady,urban
tutin_019,Tự tin,boot,Tôi chọn sự ổn định lâu dài.,masculine,confidence,street
tutin_020,Tự tin,boot,Tôi di chuyển với sự kiểm soát.,control,strong,style

truyencam_021,Truyền cảm,leather,Tôi chú ý đến cảm giác trong từng chi tiết.,luxury,emotion,studio
truyencam_022,Truyền cảm,leather,Ánh sáng nhẹ làm mọi thứ dịu hơn.,soft,light,emotion
truyencam_023,Truyền cảm,leather,Tôi cảm nhận sự hài hòa khi bước đi.,elegant,calm,style
truyencam_024,Truyền cảm,leather,Mỗi chuyển động đều có cảm xúc.,emotion,refined,studio
truyencam_025,Truyền cảm,leather,Tôi thích sự tinh tế vừa đủ.,luxury,quiet,emotion
truyencam_026,Truyền cảm,casual,Tôi để cảm xúc dẫn nhịp bước.,lifestyle,emotion,soft
